Prefix,Exact,DXCC,CQZ,ITUZ,Cont,Lat,Lon,ValidFrom,ValidTo
H7,0,86,7,0,,,,,
HT,0,86,7,0,,,,,
YO,0,275,20,0,,,,,
YP,0,275,20,0,,,,,
YQ,0,275,20,0,,,,,
YR,0,275,20,0,,,,,
YS,0,74,7,0,,,,,
HU,0,74,7,0,,,,,
YU,0,296,15,0,,,,,
YT,0,296,15,0,,,,,
YZ,0,296,15,0,,,,,
YV,0,148,9,0,,,,,
4M,0,148,9,0,,,,,
YW,0,148,9,0,,,,,
YX,0,148,9,0,,,,,
YY,0,148,9,0,,,,,
YV0,0,17,8,0,,,,,
4M0,0,17,8,0,,,,,
YW0,0,17,8,0,,,,,
YY0,0,17,8,0,,,,,
Z2,0,452,38,0,,,,,
Z3,0,502,15,0,,,,,
ZA,0,7,15,0,,,,,
ZB,0,233,14,0,,,,,
ZG,0,233,14,0,,,,,
ZD7,0,250,36,0,,,,,
ZD8,0,205,36,0,,,,,
ZD9,0,274,38,0,,,,,
ZK2,0,188,32,0,,,,,
ZK,0,170,32,0,,,,,
ZP,0,132,11,0,,,,,
ZS,0,462,38,0,,,,,
H5,0,462,38,0,,,,,
S4,0,462,38,0,,,,,
S8,0,462,38,0,,,,,
V9,0,462,38,0,,,,,
ZR,0,462,38,0,,,,,
ZT,0,462,38,0,,,,,
ZU,0,462,38,0,,,,,
ZR8,0,201,38,0,,,,,
ZT8,0,201,38,0,,,,,
ZU8,0,201,38,0,,,,,
XR9,0,13,13,0,,,,,
3G9,0,13,13,0,,,,,
XQ9,0,13,13,0,,,,,
CH,0,1,5,0,,,,,
CI,0,1,5,0,,,,,
CY,0,1,5,0,,,,,
CZ,0,1,5,0,,,,,
XJ,0,1,5,0,,,,,
XM,0,1,5,0,,,,,
XN,0,1,5,0,,,,,
XO,0,1,5,0,,,,,
VD,0,1,5,0,,,,,
VF,0,1,5,0,,,,,
VY,0,1,5,0,,,,,
BS,0,318,24,0,,,,,
BR,0,318,24,0,,,,,
3A,0,260,14,0,,,,,
YU3,0,514,15,0,,,,2006-06-28T00:00:00+00:00,2007-05-11T23:59:59+00:00
YT3,0,514,15,0,,,,2006-06-28T00:00:00+00:00,2007-05-11T23:59:59+00:00
YT6,0,514,15,0,,,,2006-06-28T00:00:00+00:00,2007-05-11T23:59:59+00:00
4N3,0,514,15,0,,,,2006-06-28T00:00:00+00:00,2007-05-11T23:59:59+00:00
4N6,0,514,15,0,,,,2006-06-28T00:00:00+00:00,2007-05-11T23:59:59+00:00
YZ3,0,514,15,0,,,,2006-06-28T00:00:00+00:00,2007-05-11T23:59:59+00:00
YZ6,0,514,15,0,,,,2006-06-28T00:00:00+00:00,2007-05-11T23:59:59+00:00
VK6,0,150,29,0,,,,,
VI6,0,150,29,0,,,,,
VI8,0,150,29,0,,,,,
OK,0,218,15,0,,,,,1992-12-31T23:59:59+00:00
DA,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DB,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DC,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DD,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DE,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DF,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DG,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DH,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DI,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DJ,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
DK,0,81,14,0,,,,,1973-09-16T23:59:59+00:00
